Player Tag,Main
Barnard's Loop,Sephiroth
based yuri,Steve
BassMage,Jigglypuff
Batipeta,Lucas
Bayo Minaj,Bayonetta
Bayo!,Min-Min
Bayo!,Bayonetta
Bayo!,Sora
Bbatts,Corrin
Bbatts,Byleth
BBW,Diddy Kong
beanmoney,G&W
BearTrap,Incineroar
BearTrap,Sheik
Beast,PT
Beastly,PT
Beastly,Falco
Beastly,Diddy Kong
Beastly,Ness
BeastModePaul,Hero
BeastModePaul,Sephiroth
Bedgar,Palutena
Beji,Pac-Man
Benca,Roy
benny,R.O.B
Benny&TheJets,R.O.B
Bestia,Ike
Betaman,Ganondorf
Betaman,Mewtwo
BHIO,Terry
big chungus,Steve
Big D,Ice Climbers
BIG DEEZY,Diddy Kong
Big MiKe,King Dedede
Big Stew,Kazuya
Big Stew,King K.Rool
big_mak,Sheik
BIGDUCKHUNTFAN7000,Duck Hunt
BigFred,Rosalina
Biggymouth,R.O.B
Binoo,Inkling
Binoo,Aegis
Bl4ck,Dr. Mario
Bl4ck,Palutena
Blackrenown,Villager
Blacktwins13,Aegis
Blacktwins13,Pichu
Blacktwins13,Roy
Blanc,Falco
Blazed,Roy
Bloom4Eva,Bayonetta
Blue,Diddy Kong
Blue Jay,Inkling
BlueJay,Sonic
Blues,Inkling
Bluesky,Yoshi
Boarden,Terry
Bobo,Snake
Bobthedusclops,R.O.B
Bobthedusclops,Snake
Bocchi,Captain Falcon
bojvoyej,Wolf
Bombastic,G&W
Bomboozler,Pichu
BooBear,R.O.B
Boogie,Piranha Plant
boosk,Corrin
boosk,R.O.B
Br1 AV,Snake
Braixen,Jigglypuff
bramsjoe,Piranha Plant
Bro1,G&W
Bro2,Wolf
Brood,Piranha Plant
Brr,Kazuya
Brr,Inkling
Brr,Terry
Bruho,King K.Rool
Bubbles,Zero Suit Samus
Bubbles,Bayonetta
Budoshu,Piranha Plant
BullHall,Incineroar
Burnlight,Pac-Man
Burst,Yoshi
Bushaheen,Bowser
Butter,Luigi
C-,Snake
CaKe,Joker
CaKe,Duck Hunt
Calvaflow,Byleth
Cam ping,Greninja
Camorific,Luigi
Canadien Poutine,Captain Falcon
Candle,Olimar
Capitancito,Mii Gunner
Capitancito,Mii Swordfighter
Capsize,Greninja
Captain L,Sheik
CaptainCRUP!!!,Captain Falcon
Carls493,Shulk
Carmelo,Steve
Castelia,King Dedede
Castle,Aegis
Castle,Chrom
Catalyst,Joker
Catalyst,Shulk
Catalyxx,Hero
Catnip,Incineroar
Cebolla,Bowser
Cee,Palutena
Cee,Donkey Kong
Celestia,Lucas
CEO of RNG,Steve
CEO of RNG,Hero
Cesar,Pit
Cesar,Sonic
Cesar,Luigi
CesarSalad,Ken
CHACHO,Wii Fit Trainer
Chag,Palutena
Chag,Inkling
chan,Dark Pit
chan,Zelda
Charliedaking,Wolf
Chase,Palutena
Chase,Aegis
Chase,Steve
Chazz (DR),Roy
Chazz (MX),Roy
CheesetheGamer,Luigi
CheesetheGamer,Steve
chicken,Diddy Kong
chicken,Wolf
chiro,Fox
Choco,Zero Suit Samus
Chocojo,Pikachu
Chocojo,Diddy Kong
ChocoTaco,Lucas
Chokeyuken,Steve
Chonren,Pac-Man
Chosen,Aegis
Chosen,Shulk
Chronos,Snake
Chugs,Hero
Chumples,Lucina
Chunky,Wii Fit Trainer
ChunkyKong,Donkey Kong
CJFrozen,Snake
CK,R.O.B
CLAW,Mii Gunner
Clementine,Wario
Cless,Terry
Clique,Young Link
Cloudy,Aegis
Coach Ben,Shulk
Cobra,Mario
Cobra,Aegis
Codicia,Roy
Codicia,Fox
Cody Schwab,Aegis
Cohen,Mario
Coleman,Wario
Colorondo8,Inkling
Comet,Fox
Con,Fox
conbeef,Donkey Kong
conbeef,Ken
Connor,Steve
Cormeme,Snake
Corraje,Mario
Corvo,Min Min
Cosmos,Aegis
Cosmos,Joker
Cosmos,Inkling
Cosmos,Corrin
Craftis,Sonic
Craftis,Sora
Crash101,Terry
crepe salee,Wario
crepe salee,Steve
Crete,Palutena
Crisam,PT
Crisam,Diddy Kong
Croi,Banjo
Croske,Toon Link
CurryGovernor,Cloud
Cwuisse,Villager
Cyber,Olimar
Cybil,Falco
D'Taku,Ice Climbers
D'Taku,Robin
D$rex,Captain Falcon
D3,Zero Suit Samus
Dabuz,Rosalina
Dabuz,Olimar
Dabuz,Min Min
Dags,Wii Fit Trainer
Daikon,Diddy Kong
Dakotsu,Pac-Man
Dakpo,Diddy Kong
Dan (Cuba),Min Min
dang3r,Cloud
dang3r,Wolf
dang3r,Aegis
Dany,Wolf
Danye,Bowser
Dark Wizzy,Mario
DarkStalker,Terry
Daru,Kazuya
Daveong,Steve
Daveong,Captain Falcon
Dawn,Peach
Dayyy,Min Min
daze,Roy
daze,Falco
DD,Kazuya
DD,Wario
DDee,Steve
DDee,PT
DDee,Pac-Man
DDee,G&W
DDIS,Kazuya
DDIS,Snake
Deadstroke,G&W
DEAR,Falco
DEAR,Fox
Deathspade,Bayonetta
Deathspade,Sora
deck,R.O.B
deedles,Isabelle
DEEPBLUE,Palutena
DEEPBLUE,Meta Knight
DEEPBLUE,Pit
DEEPBLUE,Falco
DeepFreeze,Joker
Deer,Joker
Deer,Pit
Deltaforce,Link
Demon,Bayonetta
denKOTA,Lucas
Deox6,Byleth
Derbas,Daisy
Destany,Terry
DeVi,Rosalina
DeVi,Aegis
Deviljhoey,Kazuya
,R.O.B
Dew2,R.O.B
Dexter,Wolf
Dez,Snake
Dice,Falco
DieGorou,Corrin
Dietsoda,Cloud
DIO,Snake
Divine,Samus
DJDon,Steve
DJDon,Mii Gunner
DKbill,Steve
DM,Aegis
DM,Pikachu
DM,Steve
DmaR,Sora
Dmitrii,Piranha Plant
Dmo,Byleth
Domino,Roy
Donquavious,Greninja
Doofus,G&W
Doorstop,Zero Suit Samus
Doorstop,PT
doperman,Lucina
Doramigi,Min Min
Double,Yoshi
Double D,Donkey Kong
Dovidio,Bayonetta
Dovidio,Donkey Kong
Dr. BustDown,Steve
Dr.Sway,Ice Climbers
DragonSlayer,Sora
Draver,Young Link
Draxsel,Captain Falcon
Dre,Mario
Drifter,Link
Dufaux,Shulk
Dura,Cloud
Dusk,G&W
Dusk,Roy
DYn,G&W
Earth,Pit
Echofire,Ness
Ed^,G&W
Eik,Peach
Eik,Palutena
Eim,Sheik
Eim,Joker
EKING,Pac-Man
ekzLeon,Wolf
Elam,Villager
Eldin,Rosalina
Electron,Yoshi
Eleven,Shulk
Eleven,Byleth
Eleya,Toon Link
elijimin,Shulk
ElleGo,Young Link
Elvis,Chrom
Emann,Bayonetta
eMass,Joker
embo_z,Duck Hunt
Enarmonia,Robin
enhancedpv,Cloud
Enix,Lucina
Ente,Steve
Ente,Min Min
Epic_Gabriel,R.O.B
eric42,Samus
eriNa_,Rosalina
ESAM,Pikachu
ESAM,Mii Brawler
Escurridizo,Pikachu
Etsuji,Lucina
Etsuji,Diddy Kong
Etsuji,Palutena
Eupho,Corrin
Evy,Sephiroth
Evy,Wii Fit Trainer
Excel_Zero,Daisy
Exodia,Zero Suit Samus
Eyeris,Joker
Eyeris,Sheik
Eyeris,Sephiroth
Ezs,Terry
F1re,Aegis
FABS,Mario
FABS,Diddy Kong
Failbot,Steve
Fairess,Zelda
Fairess,Samus
Fairy Seal,Shulk
Fallen,Mega Man
Fallen,Steve
Fancy,Joker
Farm,Shulk
Faster,Falco
Fatality,Captain Falcon
fatejj,Samus
FatherPlum,Lucas
fawn,Duck Hunt
fawn,G&W
Felix,Fox
Fendeavor,Luigi
Feng Xiang,Ryu
Ferf,Wario
Ferf,Sonic
Ferps,Kazuya
Ferstu,Wario
FILIP,Falco
FireThePyro,Mii Brawler
Fizz Khalifa,Wolf
Fizz Khalifa,Bowser
Fizzmint,Shulk
fletcher,Joker
Flip,Falco
FLOR,Min Min
FLOR,Lucina
FLOR,Cloud
Flow,Roy
Flowerboy,Snake
Flowerboy,Bayonetta
Flowz,Snake
Floyd,Yoshi
Flury,G&W
Foo Fighters,G&W
Forze,R.O.B
Foxy,Bayonetta
FragToast,Terry
Frappe,Zelda
FRauDFiSH,Bayonetta
frawg,Bayonetta
FreakinJoel,Ridley
FrostKqt,Chrom
FrostKqt,Diddy Kong
Fui,Yoshi
Furararamen,Isabelle
Furararamen,G&W
Furu,Hero
Futari no Kiwami Ah~!,Ice Climbers
Fuusui,Young Link
Fuwa,Ice Climbers
Fuzzydyne,Joker
G0ldenPSI,Wolf
G0nard,Little Mac
Gachipi,Lucario
Gackt,Ness
Gakimasa,Mario
Gam,Min Min
Gamer,Donkey Kong
Gamerdog,R.O.B
Gaosan,Incineroar
Garo,Cloud
GARU,Falco
Gatsby,Captain Falcon
Gbro,Pac-Man
Gedestra,Hero
Geist,Bayonetta
Geist,Wario
Gen,Palutena
Genialo,R.O.B
GENtheBlow,Incineroar
Gerald,Captain Falcon
Ghost,Steve
Ghost,Daisy
Ghost,Mii Brawler
Ghoul979,Ike
Gidy,Cloud
Gidy,Chrom
Gintama,Kirby
Gintama,Roy
Givix,Palutena
Glug,Donkey Kong
Glutonny,Wario
Go_,R.O.B
Goblin,Roy
Goblin,Ike
Gogesta,Bowser
Gogesta,Steve
Gogeta,Falco
GoldenKey,Pikachu
GoofyGoober,Greninja
Gorioka,Joker
GotM,Falco
GotM,Roy
Gotou,Joker
Grade,Mewtwo
Grade,Sora
Grandmaster,Robin
Grape,Snake
Grayson,R.O.B
Grease All Mighty,Snake
Greencito,Piranha Plant
Greg House,R.O.B
gregorian,Wii Fit Trainer
Greivxus,Mii Brawler
Grim,Diddy Kong
Grim,Kazuya
Grimturtle,R.O.B
Gronk,R.O.B
Gu-ri,King Dedede
Guangdong Shaola Chuanqi,Bowser
Guilheww,Kirby
GuyGuy,Luigi
GuyGuy,Greninja
H4,Pikachu
Hagemanto,Steve
Halo,Link
Hamachi,Banjo
HammerBro,Ice Climbers
happy,Richter
Harasen,Ice Climbers
Harasen,Falco
Hareta,R.O.B
Harlonga,Wario
Hashibobo,Pikachu
Hashio,Greninja
Haunter,Steve
Haven,Corrin
Haven,Wario
Hawk,R.O.B
HayaT,Shulk
Haze,Diddy Kong
Heaven,Ken
Heaven,Kazuya
Hecho,Falco
heck,Corrin
HENRY LUMA,R.O.B
Hero,Bowser
Herr Oberst Nu,Terry
Hidaka Drapion,Pac-Man
Hidaka Drapion,Samus
Hide,Wolf
Higachan,Ganondorf
HIKARU,Sora
HIKARU,Roy
HIKARU,Donkey Kong
himo_pechio,Lucas
hiro,Bayonetta
Hohsis,Fox
Hohsis,Falco
Homika,Rosalina
Horkeu,Rosalina
Horoa,Villager
HS,Cloud
huh,Donkey Kong
Hunger,Fox
Hungrybox,Jigglypuff
Hurt,Snake
Hurt,Greninja
Hushpuppy,Kazuya
Hushpuppy,Samus
Hushpuppy,Ken
Huto,King K.Rool
Huto,Wario
Huto,Captain Falcon
hydrofx,Hero
hydrofx,Samus
hydrofx,Captain Falcon
Hyrchurn,Ridley
Hyrchurn,Byleth
Iba,Zero Suit Samus
Iberyes,PT
Icebear,Link
IceKnight,Greninja
Ichigo,Pit
IcyK,Bowser
IcyMist,Samus
Ignaize,Marth
iGreg!,Robin
iHassoon,Palutena
Ikan,Ryu
Ike,Snake
IllusioN,Zero Suit Samus
iModerz,Wolf
Imokenpi,Bayonetta
Infiknight,Ike
Infinity,Olimar
Injelly,Wii Fit Trainer
Invictus,Zero Suit Samus
ioppppo,R.O.B
Irregular,G&W
Isco,Luigi
Ismael,Palutena
Ismael,Bayonetta
isohel,Link
iStudying,Greninja
Ja-Nox,Incineroar
Jabes,Toon Link
Jade,Fox
Jagabata,Duck Hunt
Jagaimo,Palutena
Jagame,Greninja
Jahzz0,Ken
Jahzz1,Ryu
Jai2Go,Lucina
Jaime,Snake
Jaime,Mario
Jaka,United States
Jakal,Wolf
Jake,Steve
James_102,Roy
Jamie,Bayonetta
Jams,R.O.B
jaredisking1,Shulk
Jarong,Inkling
Javi,Roy
Javi,Wolf
JAVI ON EARTH,Villager
Jax,Lucina
Jay,Joker
JaZaR,Dr. Mario
JB,Samus
Jbrav,Cloud
Jbrav,Snake
Jdizzle,Young Link
JDV,Pac-Man
Jehovis42,Luigi
JeJaJeJa,Kirby
Jiggs,Pikachu
Jigle,Robin
Jimmychanga,Falco
Jix,Diddy Kong
jjcat00,Samus
JM,Incineroar
Jman Delt*,Kazuya
jo,Aegis
jo,Ness
Joe-J,Diddy Kong
Joey,Cloud
Joey,Sheik
Jogibu,Captain Falcon
John,Wii Fit Trainer
John Numbers,Wii Fit Trainer
Johto,Chrom
Johto,Roy
JoJoDaHoBo,Toon Link
Jolt,Kazuya
Jolt,Pikachu
JOmega,Bowser Jr
Jonestly,Ness
Jonhy,Roy
Jonhy,Ike
Jonhy,Sephiroth
jonny,Palutena
Jordan,Wario
Jordan,Donkey Kong
Joshathan Gamer,R.O.B
JoStorr,Aegis
Jovann,Greninja
jT,Ike
Juice,Wario
Jukain,Peach
Jukain,Cloud
Jules,Steve
Jules,Bayonetta
Jules,Min Min
Juso,Inkling
Just Blue,Steve
Just Blue,Wii Fit Trainer
Justice,Min Min
Justin23,Yoshi
Justinbyleth,Byleth
JW,Greninja
JY,Terry
jyo1,Meta Knight
K. Kool,King K.Rool
K3D,Ganondorf
K3D,King Dedede
K3D,King K.Rool
Kabayeezy,Mario
Kabayeezy,Captain Falcon
Kabi,Hero
Kaeru,G&W
Kaido,King K.Rool
Kailen,Joker
Kaim,Zero Suit Samus
Kajin,Snake
Kakpu,Roy
Kalium,Aegis
Kamekichi,Diddy Kong
Kameme,Sora
Kameme,Mega Man
Kameme,Sheik
Kami,Rosalina
Kamikawa,Ice Climbers
Kamisuke,Hero
Kamuko no Namaashi Bikyaku Doriru,Terry
Kamus,Palutena
Kandif,Peach
Kanga,Snake
Kaninabe,Fox
Kapito22,Cloud
KaPMk,Meta Knight
Kappy,Pit
Kappy,Yoshi
Kappy,Ness
Karaage,Captain Falcon
Karflo,Roy
Karubi,Little Mac
Kashita,Ness
Kashiya,Falco
Kasmir,Mega Man
Katamari,Duck Hunt
Kazari,Ike
Kazma,R.O.B
Kazuya virus,Kazuya
Kazuya virus,Ice Climbers
Kazuya virus,Luigi
KBTIT,Diddy Kong
KBTIT,Shulk
KDK,Donkey Kong
KEE,Ridley
KEN,Sonic
KEN,Sephiroth
kendricklamarfan19,Cloud
kenniky,Cloud
kept,Isabelle
kept,Villager
Kerbooples,Piranha Plant
Keroguchi,Wii Fit Trainer
Kerp,Mario
Keutz,Donkey Kong
kev_aROS,Toon Link
Khatru,Roy
KHS,Sora
Kie,Peach
Kie,Ice Climbers
Kikuzakari,Villager
Kinaji,Snake
Kinaji,Shulk
King Succy,Ryu
Kip!,Byleth
Kirb0,Kirby
KirbyKid,King K.Rool
KirbyPoyo,Joker
Kirihara,Sheik
Kirihara,Rosalina
Kisha,Snake
Kito,PT
Kiyarash,Luigi
KJ,Fox
Kobe,Young Link
Kodra,Link
Koebel,Pikachu
Kogeta Gohan,Ness
Kojika Yoshio,Diddy Kong
Kojika Yoshio,Mewtwo
Kola,Roy
Kola,Cloud
Kome,Shulk
Komegura,Ganondorf
Komugiko,Mega Man
Konga,Donkey Kong
Konkreto,Ness
Konkreto,Ridley
Konokururu,Kirby
Koopius,Bowser
Koopius,Dark Pit
koro,Sonic
Kota,Lucas
Kota,Mii Gunner
Kota,Zelda
Kota,Ness
Kou,Fox
Kowalski_023,Steve
Kreeg,Marth
Kreeg,Roy
Krimson101,Diddy Kong
Krontol,Fox
Krontol,Sephiroth
Kry,PT
Kurama,Mario
Kurikomochi,Peach
Kuro,G&W
Kuro,Zero Suit Samus
Kuro Tamago,R.O.B
Kuro1_Fury,Terry
Kurofune,Sonic
Kurokuma,Piranha Plant
Kuroponzu,R.O.B
Kurumis,Ice Climbers
Kusharu,Hero
ky-9,Mario
KyeChimera,Dr. Mario
KyeChimera,Samus
Kyon,Link
Kyou,Snake
Kyros,Young Link
L-Vis,Meta Knight
L4st,Byleth
LA GRIMACE,G&W
La_Lapin,Steve
Lagnel,Snake
Lalini,Wolf
Lam,Lucario
Lambda,PT
LampShady,Bowser Jr
Lancelot,Chrom
Lancelot,Roy
LAO9,Inkling
Lapi,R.O.B
Lapi,Bowser
Larry Lurr,Falco
Larry Lurr,Wolf
Las Vegas,Pac-Man
latios,Yoshi
Latte,Pac-Man
Law,Luigi
Law,Chrom
Lax,Chrom
Lax,Sora
Layer,Aegis
Layer,Byleth
Lea,Greninja
Lea,Sora
Leaf,Peach
Leaf,Robin
Leffen,PT
Legacy,Kirby
Legacy,Wolf
Legaia,Lucina
legend,Inkling
Legit,Diddy Kong
Lemmon,Joker
Lemonace,Wii Fit Trainer
LemozonA,Young Link
Leon,Lucina
Leon,Chrom
LeoN,Bowser
LeoN,Hero
Levi,Inkling
Liam,Richter
Lids,Wario
Light,Fox
Light,Yoshi
LightningIgarashi,Zero Suit Samus
LightningIgarashi,Samus
LiiMac,Little Mac
Lila,R.O.B
Lima,Bayonetta
Ling,Peach
Ling,Daisy
Ling,King Dedede
LinkS.,Link
Linky,Toon Link
LittN!,Incineroar
loaf,Wario
Locus,Terry
Logo,Donkey Kong
Lokoto,Pit
Lokoto,R.O.B
lolyoshi,Mii Gunner
Longo,ROB
Lookkrung,Roy
Lopsterman,Cloud
Loptr,Bayonetta
lowkeyඞ,Samus
Lucas,Ryu
Lucastrupa,Sonic
Lucia,Meta Knight
Lucky,Piranha Plant
Lucm3,Bowser
Lucretio,R.O.B
Ludo,Mario
Ludo,Falco
Luffyranha,Inkling
Lui$,Palutena
Lui$,Fox
Lui$,Dr. Mario
Lui$,R.O.B
LuiS,Palutena
luisito,G&W
Lukas,Snake
Lukewarm,King K.Rool
lukey,Fox
Lukitu,Palutena
Luma,Palutena
Luma,Mii Brawler
Luminous,Joker
Luminous,Aegis
Luminous!,Greninja
Luna,Ken
Lunamado,Mii Brawler
Lunamado,Dark Pit
Lunia,Luigi
Lunice,Fox
Luugi,Luigi
Lv.1,Toon Link
Ly,Corrin
Ly,Byleth
Lycan,Link
LynZle,Joker
Lyonheart,Luigi
M0tsunabe,Falco
M4d_ara,Lucina
M4E,Sephiroth
MA,Link
Machu,R.O.B
Mada,Pikachu
Mada,Richter
Magician,Hero
maidan,Ike
MairudonaH.O,Donkey Kong
Maister,G&W
Mait,Little Mac
Major,Ganondorf
Makino,Sheik
MALDO,Wario
Mamba,Pikachu
Mang0,Wario
Mania,Piranha Plant
Manto,Duck Hunt
Many,Steve
Manzana,Luigi
Manzana,Donkey Kong
Manzoku,Toon Link
Manzoku,Link
Mao,Roy
Mao,Min Min
Mapelgold,Cloud
Mapelgold,Aegis
Maphoo,Mega Man
Marcane,Ness
Marcos,R.O.B
Marcos,Kazuya
Marcos,Captain Falcon
Marcules,Snake
Marf,Zelda
MariyoTree,Isabelle
MariyoTree,Villager
Maroli,Lucina
Marroll,Kirby
Marroll,Hero
Marss,Zero Suit Samus
Marumain,Hero
Marvelous_Marco,Toon Link
MASA,Falco
Masashi,Cloud
Masha,Wolf
MasterKill,Min Min
Mastronarde,PT
MaT,Min Min
MazeBeans,Steve
McChutney,Little Mac
Meercko,Lucina 
MeetLeo,Wii Fit Trainer
Mega,Ike
Meido,Zero Suit Samus
MeiKi,Olimar
MelihMegron,Mario
melon,Zero Suit Samus
Meme,Yoshi
MemeGunner,Mii Gunner
MenaRD,Bowser
Meowscarada,Dr. Mario
merf,Chrom
Meru,Peach
Meru,Zelda
MERUTOA,Steve
Mess,Wolf
Met,Mega Man
Metamo,Young Link
Metara,Meta Knight
Metsu,Ryu
Metsu,Ken
Mew2King,Aegis
Mew2King,Bowser
Mewmin,Mewtwo
Mewmon,Greninja
Mezcaul,Ridley
MFA,Olimar
Middnights,Robin
Midorun,Pit
Mikerowave,Aegis
Mikerowave,Wolf
Miko,Kazuya
Miles,Terry
Miloldo,Luigi
mimi,G&W
Mina,Wario
MindReader,Mii Swordfighter
MINTOS,Cloud
Miru,Kazuya
Mirukage,Greninja
Mistake,Bayonetta
Mitsu,Sephiroth
Mitsu,Ken
Miya,G&W
Miya,Steve
MKBigBoss,R.O.B
MkLeo,Byleth
MkLeo,Joker
MkLeo,Aegis
MkLeo,Corrin
MkLeo,Meta Knight
MkLeo,Ike
MkLeo,Marth
MkLeo,Lucina
mnf,Sheik
moca,Richter
MoDzai,Pac-Man
MoDzai,Kazuya
Mokumoku,Yoshi
Momo!,Banjo
Momon,Fox
Momon,Luigi
momon,Ridley
Moneyright,Wario
Moneyright,PT
Monsoon,Richter
Monte,G&W
moom,Inkling
MopN,Aegis
MopN,Roy
Morjimaru,Incineroar
Morris,ROB
morrocoYo,Robin
Morsala,Wolf
Mossan,Pichu
Moti,Corrin
Motsuda,G&W
Mottsuan,Bayonetta
moxi,Wolf
moxi,PT
moxi,Meta Knight
Mr,Snake
Mr. E,Lucina
Mr. F,Roy
Mr.R,Sheik
Mr.R,Chrom
Mr.Zercon,Isabelle
MTK,Pit
Mtkat,Palutena
Mugen,Roy
Mukuro~,Bowser
Munekin,Ryu
Munekin,Ken
Mursu,Pac-Man
Mursu,Kirby
Mustaine,Terry
MuteAce,Peach
MuteAce,Palutena
MuteAce,Bayonetta
MVD,Snake
Myles,Yoshi
MyNameis67,R.O.B
Myollnir,Mii Swordfighter
Myran,Olimar
Mystery Sol,Incineroar
Mystikmol,Kazuya
mzk,Duck Hunt
n1an,Roy
N3on,Corrin
N3on,Robin
Nabtah,Piranha Plant
NadiA,Pikachu
NaetorU,Pichu
Nagi,Hero
nagu,Wolf
Nair^,Ridley
naitosharp,Cloud
naitosharp,Zero Suit Samus
naitosharp,Sheik
naitosharp,Joker
naitosharp,Diddy Kong
Naki,Lucina
Nako,Greninja
Nanchan,Diddy Kong
Nanchan,Zero Suit Samus
NaNo,Zelda
Nanoash,Bowser
Nao,Mario
Nao,Cloud
Naocha,Diddy Kong
NAS,ROB
Naskino,Zelda
Nata,Pit
Nata,Dark Pit
Nathan,Terry
NathanBoneCrush,Diddy Kong
NathanBoneCrush,Kazuya
Natsu,PT
Natsu,Falco
Natumegu,Wolf
Navy,Luigi
Navy,Byleth
Naytro,Banjo
NeckLuv,Ken
Ned,Sephiroth
Ned,PT
Ned,Cloud
Neeroz,Pikachu
Neeroz,Palutena
Nemu,Steve
Nemugaki,Lucas
Nemugaki,Min Min
Neo,Corrin
Nery,Isabelle
Nessboy12,Ness
Nestea,Ness
NETOmx,Pikachu
Next,Palutena
Nexus,Falco
Nibodax,Bayonetta 
Nice Gonture,Wii Fit Trainer
NickDistrict14,Wii Fit Trainer
NickDistrict15,Steve
Nickname,Ken
Nickname,Ryu
Nickname,Kazuya
Nicko,Shulk
NickSF,Mii Swordfighter
Nietono,Diddy Kong
Nietono,Pichu
Nigou,Ike
Niko,Cloud
Niko,Sephiroth
Niko4,Kazuya
Nimba,Pichu
Nito,Kazuya
Nito,Ken
Nitox,Lucas
Niyae,Steve
Nizemamo,Bayonetta
Nizemamo,Kazuya
NO1Z,Lucario
NO1Z,Sheik
Nobu,Fox
NocoBros,Pikachu
NOGGOD,Steve
NOGGOD,Incineroar
Noi,PT
Noi,Olimar
Noluck,Mega Man
Noot,King Dedede
NoSmo,Snake
NoTag,Mario
NotBrayden,Mario
Noway,Lucina
Noway,Palutena
nowel,Yoshi
Noxumbra,Richter
NStheSN,Bowser
Nucrear Cirno,Kazuya
Nuggetz,Daisy
NWA Danbi,Yoshi
Nyanchan,Link
Nyonoknb,Diddy Kong
nytrify,Mii Brawler
Nyx_405,Pichu
Oa,King K.Rool
OBESOO,Link
Obi,Yoshi
oBoRo,Lucario
OBVIO GL,Bowser
Octave,Pac-Man
Offline,Mario
Ogatou,Luigi
Ogey,Captain Falcon
Ogreb,Ridley
"Oi, George",Min Min
Ojwaddler,Mario
Ok,Mario
Okair,Bayonetta
omega,Joker
OMNaoto,Falco
Omuatsu,Min Min
OneDrive Isn't Signed In,Bowser Jr
Onin,Steve
Onjoji,Snake
ononox,Cloud
Oolong,Wii Fit Trainer
Oolong,Mii Gunner
Opsine,Zero Suit Samus
Orange,Link
Oryon,Wolf
Oryon,Dr. Mario
Osk,Aegis
Osushi,Bowser Jr
Otori,Villager
Otsu,R.O.B
Ouch!?,Wolf
